image_id,filename,transform_name,intensity_value,pipeline_version,hash_algorithm,hash_value,hash_ref,hamming_distance,width,height,aspect_ratio
000000000139,000000000139.jpg,brightness,0.5,v2.0,phash,95d3f8748359f805,95d3f8748359f805,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.5,v2.0,dhash,786468706e26367b,786468706e26367b,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.5,v2.0,ahash,fefefe3c0282021f,fefefe3c1282021f,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.5,v2.0,whash,fefefe3c0280001f,fefefe3c0280001f,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.5,v2.0,colorhash,09e00008000,01e00008000,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.5,v2.0,dhash_vertical,03bc3802c3c03fff,03bc3802c3c13fff,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.5,v2.0,phash_simple,afada5a7bea8a8a8,afada5a7bea8a8a8,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.5,v2.0,pdq,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.7,v2.0,phash,95d3f8748359f805,95d3f8748359f805,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.7,v2.0,dhash,786468706e26367b,786468706e26367b,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.7,v2.0,ahash,fefefe3c1282021f,fefefe3c1282021f,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.7,v2.0,whash,fefefe3c0280001f,fefefe3c0280001f,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.7,v2.0,colorhash,09e00008000,01e00008000,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.7,v2.0,dhash_vertical,03bc3802c3c03fff,03bc3802c3c13fff,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.7,v2.0,phash_simple,afada5a7bea8a8a8,afada5a7bea8a8a8,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.7,v2.0,pdq,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.85,v2.0,phash,95d3f8748359f805,95d3f8748359f805,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.85,v2.0,dhash,786c68706e26367b,786468706e26367b,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.85,v2.0,ahash,fefefe3c0282021f,fefefe3c1282021f,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.85,v2.0,whash,fefefe3c0280001f,fefefe3c0280001f,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.85,v2.0,colorhash,01e00008000,01e00008000,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.85,v2.0,dhash_vertical,03bc3802c3c03fff,03bc3802c3c13fff,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.85,v2.0,phash_simple,afada5a7bea8a8a8,afada5a7bea8a8a8,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,0.85,v2.0,pdq,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.15,v2.0,phash,95d3f8748359f805,95d3f8748359f805,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.15,v2.0,dhash,786468706e26367b,786468706e26367b,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.15,v2.0,ahash,fefefe3c1282021f,fefefe3c1282021f,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.15,v2.0,whash,fefefe3c0280001f,fefefe3c0280001f,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.15,v2.0,colorhash,02e00008000,01e00008000,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.15,v2.0,dhash_vertical,03bc3802c3c03fff,03bc3802c3c13fff,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.15,v2.0,phash_simple,afada5a7bea8a8a8,afada5a7bea8a8a8,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.15,v2.0,pdq,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.5,v2.0,phash,95d3f8748359f805,95d3f8748359f805,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.5,v2.0,dhash,786c68706e26367b,786468706e26367b,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.5,v2.0,ahash,fefefe3c1282021f,fefefe3c1282021f,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.5,v2.0,whash,fefefe3c0280001f,fefefe3c0280001f,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.5,v2.0,colorhash,02e00008000,01e00008000,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.5,v2.0,dhash_vertical,03bc3802c3c03fff,03bc3802c3c13fff,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.5,v2.0,phash_simple,afada5a3bea8a8a8,afada5a7bea8a8a8,1,640,426,1.502347
000000000139,000000000139.jpg,brightness,1.5,v2.0,pdq,1001001111001100001001100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110111100001110010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100000101000011110100100011100101,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,4,640,426,1.502347
000000000139,000000000139.jpg,brightness,2.0,v2.0,phash,95c3f8748359f807,95d3f8748359f805,2,640,426,1.502347
000000000139,000000000139.jpg,brightness,2.0,v2.0,dhash,f0e468706e26367b,786468706e26367b,3,640,426,1.502347
000000000139,000000000139.jpg,brightness,2.0,v2.0,ahash,fefefe3c3282023f,fefefe3c1282021f,2,640,426,1.502347
000000000139,000000000139.jpg,brightness,2.0,v2.0,whash,fefefe3c0280001f,fefefe3c0280001f,0,640,426,1.502347
000000000139,000000000139.jpg,brightness,2.0,v2.0,colorhash,03c00000000,01e00008000,3,640,426,1.502347
000000000139,000000000139.jpg,brightness,2.0,v2.0,dhash_vertical,03fa3802c3c13fff,03bc3802c3c13fff,2,640,426,1.502347
000000000139,000000000139.jpg,brightness,2.0,v2.0,phash_simple,aba9a5a1afa8a8aa,afada5a7bea8a8a8,6,640,426,1.502347
000000000139,000000000139.jpg,brightness,2.0,v2.0,pdq,1001001111001101001011100001100001111010111100101101000101111010100001010000101101001010000001111000001111110000110111100001110010111000111101101011011101110000010011110000111110111001110001010111000111100000110101101001011100000101000011110100100011100001,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,22,640,426,1.502347
000000000139,000000000139.jpg,contrast,0.5,v2.0,phash,95d3f8748359f805,95d3f8748359f805,0,640,426,1.502347
000000000139,000000000139.jpg,contrast,0.5,v2.0,dhash,786468706e26367b,786468706e26367b,0,640,426,1.502347
000000000139,000000000139.jpg,contrast,0.5,v2.0,ahash,fefefe3c1282021f,fefefe3c1282021f,0,640,426,1.502347
000000000139,000000000139.jpg,contrast,0.5,v2.0,whash,fefefe3c0280001f,fefefe3c0280001f,0,640,426,1.502347
000000000139,000000000139.jpg,contrast,0.5,v2.0,colorhash,07e00000000,01e00008000,2,640,426,1.502347
000000000139,000000000139.jpg,contrast,0.5,v2.0,dhash_vertical,03bc3802c3c03fff,03bc3802c3c13fff,1,640,426,1.502347
000000000139,000000000139.jpg,contrast,0.5,v2.0,phash_simple,afada5a7bea8a8a8,afada5a7bea8a8a8,0,640,426,1.502347
000000000139,000000000139.jpg,contrast,0.5,v2.0,pdq,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,1001001111001100001011100111100001111010011100100101000101111010001001010000101101001010000101111000000111110001110011100001100010111000101101111011011101110000010011110010111110111101110011010111000111100000000100101001011100100101000011110100100011100101,0,640,426,1.502347
000000000139,000000000139.jpg,contrast,0.7,v2.0,phash,95d3f8748359f805,95d3f8748359f805,0,640,426,1.502347
000000000139,000000000139.jpg,contrast,0.7,v2.0,dhash,786468706e26367b,786468706e26367b,0,640,426,1.502347
